study,Participant_Num,Parameter,q2.5,q25,q50,q75,q97.5
s1,1,alpha,0.0,0.0,0.0,0.0,0.06440446992456494
s1,2,alpha,0.07696367425754026,0.11376971234843497,0.1355751052066419,0.15862945700065392,0.208065107101344
s1,3,alpha,0.0,0.0,0.0,0.0,0.1259298577037932
s1,4,alpha,0.06356441370556627,0.09104749613208299,0.10635300147668394,0.12296415484775575,0.15895095460818115
s1,5,alpha,0.007521444337516824,0.015673652773445398,0.022491004516579566,0.031639397018817114,0.05812580025398072
s1,6,alpha,0.0,0.0,0.0,0.0,0.015087853283566809
s1,7,alpha,0.036507857911820374,0.04752356579905005,0.05401564242691064,0.06118244091522366,0.07723697418971164
s1,8,alpha,0.0,0.0,0.0,0.0,0.11639176879810553
s1,9,alpha,0.11859690704820966,0.17225723821585678,0.20158403486050025,0.23475332024503942,0.314954826779442
s1,10,alpha,0.04879502721803481,0.07642818155109019,0.09505167097902674,0.11759749924902226,0.17476365800106727
s1,11,alpha,0.07258608920910595,0.12816338602849758,0.17044667427984744,0.2174710034729702,0.3229722844404688
s1,12,alpha,0.05590625314375791,0.08351723065481437,0.09794801549793727,0.11245901176169266,0.14267857093222805
s1,13,alpha,0.041010530673058036,0.05616920753230695,0.06490381998859336,0.07428491249590048,0.09436184117224651
s1,14,alpha,0.05426396352517269,0.0829121599539586,0.10007056453372717,0.11959514117207895,0.16515400178950024
s1,15,alpha,0.09599110794298768,0.12163161129829098,0.13668553307209969,0.15285216424851839,0.1872634433255326
s1,16,alpha,0.03690687380278471,0.04413091094911982,0.04803290453026458,0.05201565177903527,0.05997629876526794
s1,17,alpha,0.07653695036429178,0.10986815007628024,0.12990772698936925,0.15225153409780187,0.20559893173957236
s1,18,alpha,0.08150066974425073,0.15933088962522182,0.19332116583123715,0.23081589727815738,0.3188497184982169
s1,19,alpha,0.0,0.0,0.15548443483234106,0.2154034831038886,0.35215517000501867
s1,20,alpha,0.0,0.0,0.0,0.0,0.2492702192553294
s1,21,alpha,0.08890309966856963,0.16962821623979923,0.20756121758495766,0.24896998506366194,0.34496724717657556
s1,22,alpha,0.07817678313230658,0.11927170448650545,0.14732435173246633,0.18185666586400057,0.27287030112021393
s1,23,alpha,0.0,0.0,0.0,0.0,0.11159209992701269
s1,24,alpha,0.010894207593399588,0.02968202551920838,0.04936212249019202,0.07460733752908057,0.1322272567725212
s1,25,alpha,0.0,0.0,0.0,0.0,0.09571476217098632
s1,26,alpha,0.11247753543775539,0.13960192093373722,0.15486325885990887,0.17077192808674532,0.20523320275003418
s1,27,alpha,0.0,0.0,0.0,0.0,0.11563988499165537
s1,28,alpha,0.05996543075529787,0.0937439017295112,0.11296449616551299,0.13274766238474545,0.17493637023708294
s1,29,alpha,0.021431256885176407,0.04053954924720193,0.052127524079988434,0.06581816160425492,0.1017313038788725
s1,30,alpha,0.0,0.0,0.0,0.0,0.35095785638750304
s1,31,alpha,0.0,0.0,0.0,0.0,0.24085896429313222
s1,32,alpha,0.0,0.0,0.0,0.14178236933708147,0.30460967305648873
s1,33,alpha,0.0,0.0,0.0,0.016791633416168468,0.19028396192806185
s1,34,alpha,0.0,0.0,0.0,0.0,0.09415426603179673
s1,35,alpha,0.010618239167764132,0.054907306779134496,0.0857167964142089,0.11551332846287493,0.17955668288929374
s1,36,alpha,0.002954264173182577,0.009035469271772484,0.0165385490561736,0.027986030959941222,0.05670160062832804
s1,37,alpha,0.0,0.0,0.0036106696465402176,0.16967685890563428,0.43567539300618
s1,38,alpha,0.13098349528672035,0.18947378121117595,0.22258924742913427,0.2590670137028373,0.3383189617881683
s1,39,alpha,0.0,0.0,0.0,0.0,0.0887650188910777
s1,40,alpha,0.0945805731379845,0.12294428663744988,0.14030711623103376,0.16001387660648447,0.2058245101470579
s2,1,alpha,0.10191859880266378,0.1318284869143903,0.14900089747743844,0.1678800364443421,0.20737557045094057
s2,2,alpha,0.08790157245495948,0.10208963511735361,0.11161257682145166,0.1236068877253337,0.15993237018870754
s2,3,alpha,0.004958380739585503,0.008133252847415071,0.010384771458425307,0.013104746076532009,0.020012764677431627
s2,4,alpha,0.15380242524013876,0.20211136401084992,0.2403861239929288,0.27841080114324257,0.3375015107673563
s2,5,alpha,0.08763445690233718,0.10393804481696908,0.11452807374163738,0.12726451718244852,0.16975507268450046
s2,6,alpha,0.13518100493644666,0.24035052872263166,0.3061372609152531,0.38116998754621334,0.5433057325922286
s2,7,alpha,0.0,0.20115750657227627,0.25285179926015955,0.30093355843890746,0.413759924261767
s2,8,alpha,0.08688434655459201,0.10606328841473399,0.12412148140982524,0.16858307907643066,0.3035911193964029
s2,9,alpha,0.061996364470271396,0.09370501644385082,0.11471973015591325,0.13934509503565784,0.19661637579114932
s2,10,alpha,0.12726624801995287,0.18391067810001138,0.21168358853070912,0.23294774301724935,0.25892646314457407
s2,11,alpha,0.019504266516921547,0.04344412546134023,0.05971043894300581,0.07879839919965069,0.1264712201513803
s2,12,alpha,0.07431058988887493,0.10355924539590107,0.12056746998161555,0.13899625221298467,0.18019961067194915
s2,13,alpha,0.05155649513624124,0.06442767722105791,0.0722068818744597,0.08081775019895963,0.10200425722846822
s2,14,alpha,0.002194890714842875,0.005212581448347513,0.00863824579567131,0.013298582110716642,0.023493893051626143
s2,15,alpha,0.0,0.003015227773636532,0.036377498148596824,0.10604020166687694,0.33500349574741783
s2,16,alpha,0.10954841459544959,0.19332450860207998,0.2916747006623651,0.33150271537574133,0.39503677569180123
s2,17,alpha,0.328401811986297,0.3676483071670272,0.3835490814446585,0.3989999779499311,0.43165375789618043
s2,18,alpha,0.1819297478172037,0.2720922920974599,0.31867996688597033,0.3694461480515451,0.48254187018027284
s2,19,alpha,0.15226449948808643,0.18290751997976004,0.19812879783724013,0.21285162463019228,0.24220462269864818
s2,20,alpha,0.1481785467075041,0.1965417029177309,0.22637265995403844,0.2587483580107621,0.32839859189887044
s2,21,alpha,0.035345920850705384,0.06176353235056374,0.07666462377862035,0.09269939520902559,0.12958963337648532
s2,22,alpha,0.18970570539674975,0.2359062896931556,0.262621555123268,0.29064995704321345,0.3504367180913704
s2,23,alpha,0.16603170392819086,0.22140900571078148,0.2453850693538947,0.26578489115763027,0.29764165124491027
s2,24,alpha,0.07506268808324434,0.14838641534040115,0.1993075775976959,0.24892936398994217,0.3386379479783334
s2,25,alpha,0.09454638242979603,0.1545902377519426,0.1931531114293128,0.23589825125136493,0.33256314069946685
s2,26,alpha,0.1922641234856758,0.3020061586732886,0.37552763050344184,0.4582021474602311,0.6326890037793561
s2,27,alpha,0.0,0.0,0.009002511260001244,0.0984550774769952,0.3548289756014582
s2,28,alpha,0.12325569251755239,0.16175525670116955,0.18343173548614422,0.2062941884039603,0.2548763044678275
s2,29,alpha,0.012707513652735614,0.02698943817047615,0.03916456265541979,0.05497986387167163,0.09753459179218649
s2,30,alpha,0.037090533994209446,0.06525737497733339,0.08257133466533478,0.10168018115777896,0.14946740573885672
s2,31,alpha,0.1873287676837249,0.2205116489469111,0.2382004769705429,0.2569972458176623,0.29505674688699396
s2,32,alpha,0.127232942430562,0.24287300548996307,0.2899576495039552,0.3350822506238973,0.4277820395422631
s2,33,alpha,0.1631396559572417,0.1915084607124633,0.20730190086616673,0.22369787848683578,0.25721000389432025
s2,34,alpha,0.06531057266493544,0.08429171485500829,0.09549998898355339,0.10843383962236908,0.13751649050394665
s2,35,alpha,0.04040161582353544,0.09866399401680462,0.1369933914103567,0.18216552295755878,0.2891051291824214
s2,36,alpha,0.1600319196339736,0.1890580570999671,0.205793197862176,0.22354029153888794,0.2615894917169349
s2,37,alpha,0.006991494697058287,0.01940882424323755,0.03356446281816111,0.06111229123111607,0.18743799775664258
s2,38,alpha,0.0034043711846926832,0.0316179874494488,0.21532569137962282,0.33221288293022094,0.5012178704469602
s2,39,alpha,0.1251774142924817,0.25049957112328675,0.28074271281474433,0.29979068817804033,0.3307481318509295
s2,40,alpha,0.00451049427978399,0.021084799720749288,0.04497885981006773,0.05923025208379834,0.08418290529789975
s1,1,lambda,0.0,0.0,0.0,0.0,0.1689760453143374
s1,2,lambda,0.12434325970501987,0.1725908939013701,0.208791253603702,0.25809444482124333,0.4220454810398587
s1,3,lambda,0.0,0.0,0.0,0.0,0.13074728025441784
s1,4,lambda,0.07798295953553579,0.09819900492078347,0.11107435713080085,0.12629197358709893,0.16433112358185833
s1,5,lambda,0.028736018231109307,0.04623088965861163,0.05870935192440913,0.0743238263575284,0.12140957205302398
s1,6,lambda,0.0,0.0,0.0,0.0,0.11723758452257886
s1,7,lambda,0.08344362491244471,0.10601666028334542,0.12104644205345612,0.13867591973693913,0.1849301369891182
s1,8,lambda,0.0,0.0,0.0,0.0,0.17399963324082854
s1,9,lambda,0.01623838917303213,0.03354853006280328,0.048103488200219216,0.07215778604359332,0.1861742973765539
s1,10,lambda,0.12270343285269336,0.17045365844957486,0.20472865788975037,0.25183877791477416,0.4058945759363282
s1,11,lambda,0.00014146593964400582,0.0013964991405375647,0.0028068298702889033,0.0043538987010864096,0.015277962807408983
s1,12,lambda,0.01232316909673105,0.016352549085546855,0.01890591999727017,0.022008755614391643,0.030290317009081413
s1,13,lambda,0.07330938874265684,0.09074344885115904,0.10182868081186686,0.11437356575822166,0.14336188949936068
s1,14,lambda,0.06239810317325157,0.08015672883436578,0.09123458824679996,0.10389404000261457,0.13615855402236454
s1,15,lambda,0.0798165711771922,0.10031069616346716,0.11380794763603035,0.12960944066729463,0.1683018396930514
s1,16,lambda,6.215295854313465e-05,0.0006149931996782223,0.0013527147623981699,0.002388496326209912,0.004541693665047271
s1,17,lambda,0.07148968652458174,0.08972364447150297,0.10140073839222252,0.1156289879089675,0.1750660742528919
s1,18,lambda,0.05947929407713377,0.13087182827299187,0.1714083126476429,0.2202413561056282,0.3515535622407552
s1,19,lambda,0.0,0.0,0.0020500891640082004,0.004982016775072809,0.19668620898894112
s1,20,lambda,0.0,0.0,0.0,0.0,0.14613097442578069
s1,21,lambda,0.029858215006805723,0.0730790052469247,0.10568696724001421,0.1535352487799802,0.3273761434365156
s1,22,lambda,0.13731081477826682,0.19817156730013413,0.24008873219145618,0.2907141047687112,0.4168244837490212
s1,23,lambda,0.0,0.0,0.0,0.0,0.03371732834497443
s1,24,lambda,0.186559589810047,0.30664871700123764,0.377180579949897,0.4613640039073787,0.6699456923051812
s1,25,lambda,0.0,0.0,0.0,0.0,0.25913281852682024
s1,26,lambda,0.07796871249468437,0.099408779525571,0.11401585649701962,0.13164523775332798,0.17503347282054027
s1,27,lambda,0.0,0.0,0.0,0.0,0.19652751778428287
s1,28,lambda,0.07451585893867518,0.09952958986463348,0.11655493346991183,0.13796603116932507,0.1989508563811419
s1,29,lambda,0.07974609587073431,0.13158134792190637,0.17200926835304053,0.2294476925793448,0.41877490848534055
s1,30,lambda,0.0,0.0,0.0,0.0,0.21588598448960997
s1,31,lambda,0.0,0.0,0.0,0.0,0.20573311026417904
s1,32,lambda,0.0,0.0,0.0,0.09307521671193443,0.3884076287643387
s1,33,lambda,0.0,0.0,0.0,0.09998673093699777,0.32305337728230515
s1,34,lambda,0.0,0.0,0.0,0.0,0.20017589579532485
s1,35,lambda,0.04088476862107574,0.06920331635611768,0.09663467407245553,0.13842299601195762,0.28013094543925754
s1,36,lambda,7.029703492893188e-05,0.0008057585192300931,0.001858683687339446,0.0033196762755694836,0.007646895678468325
s1,37,lambda,0.0,0.0,0.14766528342352464,0.30991933237525915,0.5761899967804371
s1,38,lambda,0.0315888324148402,0.05506696832181215,0.07564874804100694,0.10757698789897552,0.23123015090944274
s1,39,lambda,0.0,0.0,0.0,0.0,0.203510089397993
s1,40,lambda,0.10555856642385612,0.13807215824700558,0.16027641502137785,0.18899392175073193,0.276342161337796
s2,1,lambda,0.10776606576538976,0.13140528912559163,0.14596379055503114,0.16289446711684014,0.20523881394722912
s2,2,lambda,0.004079792727747799,0.004834119408717086,0.0052629259643819475,0.007250554850617992,0.0140112456580898
s2,3,lambda,0.000473566591633291,0.0009712290463303581,0.001288646011185446,0.0016724777313424895,0.0027898843677806634
s2,4,lambda,0.009197759542502609,0.014163248083333187,0.021241560794378965,0.03419585856304116,0.05724914662784337
s2,5,lambda,0.004229944948156936,0.004756639026332275,0.005008864349326484,0.005192019980733433,0.00800489210062839
s2,6,lambda,0.08130675218651626,0.1343026058685021,0.16786835414481777,0.20816274059976775,0.31610332617635467
s2,7,lambda,0.0,0.00015482186380726928,0.0004049076263959233,0.0008312085168958358,0.0028006441560795704
s2,8,lambda,0.0038800425627159253,0.004590786617519161,0.0049333436187367005,0.005197517303266352,0.011866603926722043
s2,9,lambda,0.06539651050778204,0.08909680083561371,0.10367843984237775,0.11963438224157626,0.15370706811539805
s2,10,lambda,0.12240069085777062,0.14918629281789897,0.16613638103902775,0.18481634343018927,0.2261336735674539
s2,11,lambda,0.1222274822528553,0.16088835695565712,0.18584914319790152,0.21551882932417743,0.29335181801070115
s2,12,lambda,0.04945618710905662,0.06788863134969689,0.07777851191267861,0.08830654930391657,0.11067314537327384
s2,13,lambda,0.0011797343301932367,0.001635015246755294,0.0019237361052859856,0.002256303711898095,0.0031344018048959066
s2,14,lambda,0.007113417629355387,0.009471666913550818,0.012132070433867645,0.051044732285695324,0.08009176880245653
s2,15,lambda,0.0,0.0021411235595263562,0.022345564139680862,0.09616428772127726,0.2446014431929609
s2,16,lambda,0.004696908903417601,0.00975912726684863,0.02614189629559012,0.03683718822443377,0.056025997659306305
s2,17,lambda,0.08244215400681967,0.14213151418113587,0.21527958792964608,0.24627872477903534,0.30612298928842
s2,18,lambda,0.011931969159246275,0.02491442823740987,0.03499001551210221,0.0478774787036184,0.12402540607492438
s2,19,lambda,0.0602165269150488,0.07677227355255835,0.08600747182164238,0.09604561297484325,0.11851609934183363
s2,20,lambda,0.03455238192192399,0.11562668195563103,0.14212621041799176,0.16485735823798486,0.2093599256792151
s2,21,lambda,0.020057088576123257,0.03278828488605316,0.04452272643685958,0.06152963408201905,0.10882319192994828
s2,22,lambda,0.025936707924175673,0.04519574280044998,0.05609304313574124,0.06750407259754043,0.09155954914783979
s2,23,lambda,0.1802599559650398,0.2302687084960384,0.2625961581472747,0.29950976380895517,0.38841657516096884
s2,24,lambda,0.012695747980878852,0.0496152900268827,0.06618980334594265,0.08018520388650155,0.10656990191143793
s2,25,lambda,0.09642618068557343,0.13571376998933096,0.16103276314891582,0.19071468500134403,0.2715408829907199
s2,26,lambda,0.11475538017832991,0.1680846075104471,0.1981921464661089,0.23108687251536236,0.3071654572529978
s2,27,lambda,0.0,0.0,0.0008880826648038213,0.009546470572395205,0.2341584579167925
s2,28,lambda,0.02724512618265877,0.04329868107081375,0.05246644990010835,0.06206226357835874,0.08182026698664066
s2,29,lambda,0.026307028014176552,0.03850392403086695,0.04623608470962245,0.054750310267382876,0.07348271028908274
s2,30,lambda,0.010755052560558325,0.016442360727277536,0.020578421301287696,0.025976893902842163,0.0400833747669001
s2,31,lambda,0.09699119720479751,0.11863256716029226,0.1316341022818013,0.14660621308656596,0.18254966459380123
s2,32,lambda,0.007308184715883069,0.04220255913926936,0.07136335900903161,0.0939648693966094,0.13813622848676013
s2,33,lambda,0.08110479616860104,0.10273506937491615,0.1162761322022726,0.13189010111405244,0.17172688742940526
s2,34,lambda,0.020200802773583604,0.026965142419376573,0.03149741568024628,0.036682276784707694,0.047677951231348895
s2,35,lambda,0.035899609993277404,0.060639519491929486,0.07503364505199873,0.09003114346694341,0.12495990371450767
s2,36,lambda,0.06311691271616751,0.0800458619720313,0.08929574790775796,0.09934303178072243,0.12139519766225772
s2,37,lambda,0.006235532578213622,0.009901847772800733,0.013459551301866561,0.01944507805649517,0.044526691888634846
s2,38,lambda,0.00022671102959394775,0.0012166527570506005,0.0021075593335762345,0.0033255848646750233,0.09008495446097009
s2,39,lambda,0.16547223441811687,0.2056586669142928,0.23237232614304976,0.26460455147452344,0.34486636087397476
s2,40,lambda,0.0019162038571432433,0.0031402818154650626,0.0064123802979588005,0.03824743052494361,0.08441365054794422
